id|source_id|attrib|object|value|
26251631151420|0|state|178|PA|
54754701123512|0|lng|335|-75.163789|
168945261420620|0|name|112|The Brewery|
289333222326314|3|date|958|2007-05-17|
362932151837611|0|state|342|PA|
536408032976727|3|date|1072|2008-12-11|
609806907893647|0|state|52|SC|
827404066140673|0|updated_at|510|Sat Nov 14 23:59:08 UTC 2009|
833444073151102|3|venue_id|50|45|
875093379313598|3|tour_id|1009|26|
902275446489739|3|venue_id|176|124|
903265361903686|2|updated_at|45|2009-11-14T23:14:55Z|
1144673269270881|0|name|79|Gathering Of The Vibes|
1175120592200081|3|date|323|1998-03-18|
1249948228151274|3|name|1116|Bisco Inferno|
1303613801341127|3|venue_id|173|58|
1392156195596516|5|credit|9|Sherri Siegel Cregar|
1531780567561372|3|date|1042|2008-04-20|
1637963561341963|0|name|310|Hard Hat|
1716475019198912|2|original|314|false|
1717496802254947|2|created_at|217|2009-11-14T23:51:11Z|
1794681608971218|0|lng|284|-72.6850932|
1866611288244567|2|updated_at|193|2009-11-14T23:17:32Z|
2148471167445687|0|created_at|162|Sat Nov 14 23:32:49 UTC 2009|
2260481361549059|3|venue_id|918|93|
2267489837445060|0|created_at|552|Sun Nov 15 00:01:53 UTC 2009|
2289404054013152|0|created_at|295|Sat Nov 14 23:44:14 UTC 2009|
|
2444805568131192|3|venue_id|957|379|
2458877720077480|3|venue_id|514|271|
2614200974252092|0|city|416|Breckenridge|
3035759714040011|3|tour_id|984|25|
3153376347693066|5|venue_id|56|547|
3220105208686894|3|venue_id|1093|539|
3229362238181664|3|venue_id|1136|555|
3237775586439113|0|name|462|Earthlink Live|
3350550973788811|3|venue_id|401|31|
3411858930534958|0|name|418|State Fair Event Center|
3425260430834475|0|lat|19|39.952335|
3504373815477040|3|date|791|2003-11-01|
3746371994178434|0|name|334|Tremont Music Hall|
|
3832884160800179|0|state|557|Niigata|
3889883576598090|2|active|276|true|
3977431561568952|0|created_at|430|Sat Nov 14 23:51:57 UTC 2009|
3998397925027940|2|pt_id|175|175|
4048424233112458|3|tour_id|1057|32|
4074008521967857|0|name|94|Vic Theatre|
4229083126082851|3|venue_id|906|195|
4236862021073418|0|updated_at|526|Sun Nov 15 00:00:09 UTC 2009|
4306113927611032|5|show_id|25|1150|
4328518105278064|2|original|216|false|
4630069693859419|3|date|1152|2009-10-02|
4670221217840608|5|credit|6|Dave Vann|
4719485754288677|0|city|559|Dallas|
4797663962046134|0|pt_id|86|833|
4865447709247985|0|lat|239|36.0307226|
|
5064466191510348|5|show_id|37|1126|
5073081961057875|3|date|348|1998-05-01|
5091574517026800|3|date|635|2002-04-20|
5098995865309458|3|date|254|1999-09-16|
5132884718637165|2|name|303|Moonlight Sonata|
5159195359018047|3|venue_id|685|386|
5271975866315098|3|venue_id|944|451|
5287218336250798|0|updated_at|17|Sat Nov 14 23:21:54 UTC 2009|
5493309812484552|3|tour_id|790|11|
5499881151505638|0|lng|331|-74.1181971|
5593737158898708|0|updated_at|215|Sat Nov 14 23:40:05 UTC 2009|
5599237596171288|0|lat|214|40.243168|
5603824701515685|2|original|72|true|
5699718789574561|3|date|46|2000-12-01|
5749543452627189|0|pt_id|438|2882|
5782036565805681|2|updated_at|137|2009-11-14T23:16:43Z|
5816612436875760|0|created_at|529|Sun Nov 15 00:00:20 UTC 2009|
6032427821504854|0|city|19|Philadelphia|
6097776283221098|0|lat|95|40.1105875|
|
6244441590477751|5|photo|34|http://lh4.ggpht.com/_D2jwmE6y1Mc/Sq_wZfO4N6E/AAAAAAAAB4w/WwWp8okuIZ0/20090912StarlandBallroomSayrevilleNJJasonFlager.jpg|
6592135324798264|0|lat|25|40.7933949|
6596994424631431|2|active|60|true|
6698848065061552|3|venue_id|936|197|
6870708551206895|3|venue_id|908|473|
7039246817531562|3|date|518|1997-07-26|
7046344117013771|3|venue_id|877|62|
|
7249456809952841|0|city|551|Asheville|
7310373269708923|5|thumbnail|4|http://lh5.ggpht.com/_D2jwmE6y1Mc/Szj9QxF6vjE/AAAAAAAACYA/zwTYRpQ_rFQ/s160-c/20091226NokiaTheatreNewYorkNYJimMcCloskey.jpg|
7333717022204901|3|date|1188|2010-01-31|
7718571834082085|2|active|286|true|
7748779658723592|0|city|378|Pittsburgh|
8093861814421200|0|city|317|Johnson|
8493513590914268|0|lng|360|-80.8431267|
8583112890782682|0|lng|187|-87.5691735|
8731428229211056|0|updated_at|129|Sat Nov 14 23:26:13 UTC 2009|
8731546374107509|3|venue_id|566|214|
8970344923763674|5|photo|22|http://lh5.ggpht.com/_D2jwmE6y1Mc/SsnqNmB2NOE/AAAAAAAACEo/iaqF2C1v9R0/20091004StateTheatreStateCollegePAJeffreyWeiner.jpg|
9068146985132609|0|updated_at|414|Sat Nov 14 23:50:46 UTC 2009|
9075888047606466|0|lat|83|39.6535988|
9133725315147274|0|lat|432|34.3664951|
|
9409426288338759|0|updated_at|44|Sat Nov 14 23:22:45 UTC 2009|
9522059825584794|5|credit|83|Matt Disipio|
9553050799777342|0|pt_id|526|3614|
9606158847659090|3|date|844|2005-09-13|
9653553378951063|3|date|927|2006-11-21|
9976191733430283|0|city|138|Minneapolis|
10083896208648010|4|post_type|5|Offical News|
10166025959593737|3|date|819|2004-09-03|
10283206717057890|3|date|731|2003-04-19|
|
10466191987705724|5|venue_id|86|520|
10524752553379116|0|state|39|CT|
|
10681800056619970|0|updated_at|326|Sat Nov 14 23:45:37 UTC 2009|
10885842741261945|0|lat|314|40.8452035|
11331576275774740|0|city|425|New Orleans|
11365526455806756|3|date|112|2001-06-09|
|
11542585382968340|0|name|102|The Haunt|
11552024263619788|0|name|459|Rox Nightclub|
11807120064333186|3|venue_id|95|68|
12090853869757807|2|name|185|Peter Gunn|
12357239384592794|3|date|477|1997-04-26|
12476417528304014|3|date|300|1998-01-29|
