id|source_id|attrib|object|value|
84682202896227|3|date|205|1999-04-20|
109538906957187|3|date|331|1998-04-02|
131275984370014|0|state|508|DC|
179629917345040|2|original|195|true|
182541799677798|3|venue_id|610|272|
208446108659338|3|set_list_json|411|[]|
290445423281057|3|venue_id|269|186|
408814104661460|3|name|663|Camp Bisco III: Senor Boombox|
466356767176335|0|created_at|568|2009-11-15T00:03:08Z|
522702128971515|2|active|119|true|
722088959570629|2|pt_id|151|151|
801662172798265|0|updated_at|172|2009-11-14T23:38:16Z|
835288686436300|3|pt_id|698|699|
912509865924788|3|venue_id|413|121|
1195528620753954|2|original|289|true|
1200275311817698|3|created_at|414|2009-11-14T23:42:23Z|
1214390023424358|2|pt_id|309|315|
1263755860229109|0|name|401|The Galaxy|
1305020759178206|3|updated_at|352|2009-11-27T22:14:57Z|
1627408724190361|0|name|256|Mick''s Lounge|
1684274133588828|3|scanned_for_sequences|506|true|
1686525003256219|0|lng|391|-84.2807329|
1698984330440138|3|scanned_for_sequences|454|true|
1700098720883651|2|updated_at|131|2009-11-14T23:16:39Z|
1855191009879200|3|venue_id|690|391|
1932387266806323|2|updated_at|322|2009-11-15T00:00:23Z|
2085213409277343|0|name|11|Cat''s Cradle|
2086426312685282|3|set_list_json|345|[{"position":0,"name":"Set 1:","song_performances":[{"position":1,"notes":null,"song_id":10,"song_name":"Barfly","inverted":false,"segue":false,"tag_list_string":""},{"position":2,"notes":null,"song_id":147,"song_name":"Pygmy Twylyte","inverted":false,"segue":false,"tag_list_string":""},{"position":3,"notes":null,"song_id":74,"song_name":"Shem-Rah Boo","inverted":false,"segue":true,"tag_list_string":""},{"position":4,"notes":null,"song_id":21,"song_name":"Down To The Bottom","inverted":false,"segue":false,"tag_list_string":""},{"position":5,"notes":null,"song_id":41,"song_name":"Jamillia","inverted":false,"segue":false,"tag_list_string":""},{"position":6,"notes":null,"song_id":4,"song_name":"Aceetobee","inverted":false,"segue":false,"tag_list_string":""}]},{"position":1,"name":"Set 2:","song_performances":[{"position":1,"notes":null,"song_id":52,"song_name":"M.E.M.P.H.I.S.","inverted":false,"segue":true,"tag_list_string":""},{"position":2,"notes":null,"song_id":11,"song_name":"Basis For A Day","inverted":false,"segue":false,"tag_list_string":""},{"position":3,"notes":null,"song_id":53,"song_name":"Magellan","inverted":false,"segue":false,"tag_list_string":""},{"position":4,"notes":null,"song_id":55,"song_name":"Morph Dusseldorf","inverted":false,"segue":false,"tag_list_string":""},{"position":5,"notes":null,"song_id":47,"song_name":"Little Betty Boop","inverted":false,"segue":false,"tag_list_string":""}]},{"position":2,"name":"Encore:","song_performances":[{"position":1,"notes":null,"song_id":87,"song_name":"Texas Pussy","inverted":false,"segue":false,"tag_list_string":""}]}]|
2152500786450696|3|date|1172|2009-11-28|
2191234465751631|3|created_at|116|2009-11-14T23:24:30Z|
